candidate_id,candidate_name,years_experience,current_city,top_skill_area,summary
50,Kara Davis,14,Chicago,support,Shipped experimentation framework for signup conversion.
51,Jeffrey Garner,4,Chicago,operations,Expanded support knowledge base and deflected repetitive tickets.
52,Carlos Brown,3,Chicago,operations,Introduced warehouse slotting optimization process.
53,Kristina Santiago,6,Atlanta,engineering,Owned forecasting model for outbound pipeline generation.
54,Shane Pugh,17,Austin,engineering,Improved NPS by redesigning incident communications workflow.
55,Thomas Williams,8,Remote,support,"Implemented Okta and SCIM provisioning for 2,000 employees."
56,Erik Garcia,4,Chicago,engineering,Maintained SOC 2 evidence collection process.
57,Brittney Olson,9,Remote,engineering,Ran agile ceremonies for cross-functional product squad.
58,Hayley Hawkins,6,Seattle,sales,"Implemented Okta and SCIM provisioning for 2,000 employees."
59,Donald Perez,11,Denver,operations,Built churn propensity model for customer success team.
60,Justin Saunders,7,Chicago,engineering,Managed enterprise renewals exceeding $4M ARR.
61,Megan Hawkins,10,Remote,analytics,Closed strategic logistics accounts in manufacturing sector.
62,Mary Steele,7,Remote,support,Launched partner onboarding program across EMEA region.
63,Donald Farmer,8,Atlanta,analytics,Led multi-region ERP rollout across three warehouses.
64,Heather White,8,Austin,analytics,Negotiated software procurement and vendor savings initiatives.
65,Matthew Jones,7,Remote,product,Owned forecasting model for outbound pipeline generation.
66,Valerie Davis,17,Denver,product,Introduced warehouse slotting optimization process.
67,Jamie Chavez,4,Austin,analytics,Owned forecasting model for outbound pipeline generation.
68,Eric Nguyen,14,Seattle,engineering,Shipped experimentation framework for signup conversion.
69,Linda Ware,12,Austin,support,Maintained SOC 2 evidence collection process.
70,Paul Williams,9,Denver,support,Built role-based compensation benchmarking dashboards.
71,Jeremy Coleman,5,Austin,sales,Managed high-volume healthcare recruiting for clinical roles.
72,Jennifer Lewis,8,Denver,engineering,Migrated legacy monolith endpoints to event-driven services.
73,Haley Rodriguez,15,Seattle,engineering,Migrated legacy monolith endpoints to event-driven services.
74,Leslie Rose,3,Austin,sales,Improved fulfillment SLA reporting with automated dashboards.
75,Daniel Joyce,10,Austin,support,Negotiated software procurement and vendor savings initiatives.
76,Dan Dougherty,13,Remote,product,Ran agile ceremonies for cross-functional product squad.
77,Pamela Roberts,11,Chicago,engineering,Built role-based compensation benchmarking dashboards.
78,Jonathan Jordan,2,Austin,operations,Designed interview loops for engineering leveling refresh.
79,Joseph Hall,9,Atlanta,product,Managed enterprise renewals exceeding $4M ARR.
80,Mary Gomez,3,Chicago,engineering,Managed enterprise renewals exceeding $4M ARR.
81,Patrick Graham,16,Remote,product,Migrated legacy monolith endpoints to event-driven services.
82,Blake Edwards,6,Austin,engineering,Expanded support knowledge base and deflected repetitive tickets.
83,Jared Bowman,7,Atlanta,sales,Launched partner onboarding program across EMEA region.
84,Jared Burch,15,Remote,engineering,Improved NPS by redesigning incident communications workflow.
85,Travis Stevens,7,Seattle,support,Maintained SOC 2 evidence collection process.
86,Heidi Kim,3,Austin,operations,Ran agile ceremonies for cross-functional product squad.
87,Jeffrey Morales,16,Chicago,operations,Negotiated software procurement and vendor savings initiatives.
88,Seth Reese,11,Austin,analytics,Reduced cloud spend by redesigning batch compute workloads.
89,Richard Jones,10,Remote,sales,Improved NPS by redesigning incident communications workflow.
90,Kerry Lee,1,Chicago,support,Owned forecasting model for outbound pipeline generation.
91,Heather Mullen,8,Austin,operations,Launched partner onboarding program across EMEA region.
92,Brittany Garcia,8,Denver,support,Scaled self-serve onboarding funnel for SMB customers.
93,Christopher Hernandez,4,Chicago,analytics,Scaled self-serve onboarding funnel for SMB customers.
94,Angela Bean,10,Austin,support,"Implemented Okta and SCIM provisioning for 2,000 employees."
95,Julie Elliott,4,Denver,product,Migrated legacy monolith endpoints to event-driven services.
96,Melanie Macias,8,Remote,analytics,Shipped experimentation framework for signup conversion.
97,Victoria Morris,14,Chicago,sales,Closed strategic logistics accounts in manufacturing sector.
98,Emily Gonzales,13,Remote,support,Migrated legacy monolith endpoints to event-driven services.
99,Mark Hogan,5,Atlanta,support,Launched partner onboarding program across EMEA region.
100,Heather Jones,3,Denver,operations,Shipped experimentation framework for signup conversion.
101,Andrew Wood,0,Seattle,operations,Closed strategic logistics accounts in manufacturing sector.
102,Matthew Madden,6,Denver,product,Improved NPS by redesigning incident communications workflow.
103,Kirk Cruz,0,Chicago,sales,Managed high-volume healthcare recruiting for clinical roles.
104,Tiffany Stevenson,2,Chicago,engineering,Built role-based compensation benchmarking dashboards.
105,Terry Armstrong,17,Austin,analytics,Introduced warehouse slotting optimization process.
106,Larry Mason,15,Atlanta,engineering,Shipped experimentation framework for signup conversion.
107,Joanna Shepherd,10,Austin,support,Built role-based compensation benchmarking dashboards.
108,Vickie Miller,13,Chicago,product,Shipped experimentation framework for signup conversion.
109,Amanda Zimmerman,8,Austin,support,"Drove product launch for analytics module used by 8,000 accounts."
110,Kelly Bishop MD,10,Austin,sales,Reduced cloud spend by redesigning batch compute workloads.
111,Jasmine Schroeder,16,Remote,product,Maintained SOC 2 evidence collection process.
112,Amy Mccoy,1,Austin,engineering,Negotiated software procurement and vendor savings initiatives.
113,Gary Grant,6,Atlanta,engineering,Closed strategic logistics accounts in manufacturing sector.
114,David York,2,Chicago,sales,Maintained SOC 2 evidence collection process.
115,Lindsey Hernandez,14,Austin,analytics,Designed interview loops for engineering leveling refresh.
116,Matthew Rangel,14,Chicago,support,Ran agile ceremonies for cross-functional product squad.
117,Matthew Bates,12,Austin,sales,Managed high-volume healthcare recruiting for clinical roles.
118,Michael Miller,10,Chicago,product,Closed strategic logistics accounts in manufacturing sector.
119,Maria Murphy,8,Seattle,support,Built churn propensity model for customer success team.
120,Michael Valentine,0,Atlanta,sales,Ran agile ceremonies for cross-functional product squad.
121,Susan Davis DDS,13,Seattle,engineering,Expanded support knowledge base and deflected repetitive tickets.
122,Alicia Parker,16,Seattle,support,Ran agile ceremonies for cross-functional product squad.
123,Gloria Miranda,17,Remote,sales,Built dbt models and Airflow pipelines for finance analytics.
124,Zachary Moore,6,Austin,sales,Improved fulfillment SLA reporting with automated dashboards.
125,Richard Romero,3,Austin,support,Shipped experimentation framework for signup conversion.
126,Nancy Rose,11,Denver,sales,Managed enterprise renewals exceeding $4M ARR.
127,Sherri Williamson,0,Atlanta,operations,Maintained SOC 2 evidence collection process.
128,Brittany White,1,Seattle,product,Automated revenue recognition data quality checks.
129,Lori Orr,14,Austin,support,Reduced cloud spend by redesigning batch compute workloads.
130,Amanda Diaz,17,Austin,analytics,Led multi-region ERP rollout across three warehouses.
131,Tracy Bishop,7,Seattle,product,Led multi-region ERP rollout across three warehouses.
132,Rachel Young,9,Atlanta,support,Shipped experimentation framework for signup conversion.
133,Vincent Mueller,9,Denver,operations,Built dbt models and Airflow pipelines for finance analytics.
134,Cheyenne Gregory,2,Chicago,analytics,Improved NPS by redesigning incident communications workflow.
135,Jessica Hammond,4,Seattle,analytics,Managed enterprise renewals exceeding $4M ARR.
136,Kathryn Barnes,5,Seattle,operations,Managed high-volume healthcare recruiting for clinical roles.
137,Curtis Jacobs,15,Austin,product,Built dbt models and Airflow pipelines for finance analytics.
138,Amy Castillo,7,Austin,analytics,Automated revenue recognition data quality checks.
139,Timothy Dawson,12,Seattle,support,Built dbt models and Airflow pipelines for finance analytics.
140,Belinda Miller,3,Remote,operations,Automated revenue recognition data quality checks.
141,Jerry Palmer,17,Chicago,sales,Built role-based compensation benchmarking dashboards.
142,Anna Lozano,15,Seattle,engineering,Improved NPS by redesigning incident communications workflow.
143,Stacey Arias,8,Remote,support,Automated revenue recognition data quality checks.
144,James Brooks,4,Austin,analytics,Shipped experimentation framework for signup conversion.
145,Brad Walker,17,Chicago,analytics,Expanded support knowledge base and deflected repetitive tickets.
146,Brett Espinoza,14,Austin,engineering,Improved NPS by redesigning incident communications workflow.
147,Charles Johnson,9,Seattle,support,Migrated legacy monolith endpoints to event-driven services.
148,Kaitlyn Guerra,4,Seattle,sales,Managed high-volume healthcare recruiting for clinical roles.
149,Julie Gilbert,11,Austin,analytics,Closed strategic logistics accounts in manufacturing sector.
150,Alicia Lewis,6,Chicago,operations,Built dbt models and Airflow pipelines for finance analytics.
151,Todd Lynch,12,Atlanta,sales,Shipped experimentation framework for signup conversion.
152,Ricardo Young,14,Remote,engineering,Shipped experimentation framework for signup conversion.
153,David Fowler,8,Seattle,support,Owned forecasting model for outbound pipeline generation.
154,Amy Copeland,0,Chicago,engineering,Maintained SOC 2 evidence collection process.
155,Mr. Mark Andrews DDS,10,Denver,engineering,Launched partner onboarding program across EMEA region.
156,Aaron Gomez,15,Austin,sales,Ran agile ceremonies for cross-functional product squad.
157,Chelsea Barnett,4,Chicago,product,Shipped experimentation framework for signup conversion.
158,Heather Ashley,17,Atlanta,support,Improved NPS by redesigning incident communications workflow.
159,Rachel Romero,6,Denver,support,Negotiated software procurement and vendor savings initiatives.
160,Shane Williams,12,Atlanta,sales,"Drove product launch for analytics module used by 8,000 accounts."
161,James Burgess,12,Chicago,product,Designed interview loops for engineering leveling refresh.
162,Austin Allen,3,Atlanta,engineering,Managed enterprise renewals exceeding $4M ARR.
163,Ashley Perkins,0,Atlanta,engineering,Ran agile ceremonies for cross-functional product squad.
164,Brandi Bell,17,Chicago,operations,Owned forecasting model for outbound pipeline generation.
165,Marvin Greer,12,Austin,operations,Built churn propensity model for customer success team.
166,Veronica Mendoza,11,Denver,sales,Managed enterprise renewals exceeding $4M ARR.
167,Chad Baldwin,5,Austin,sales,Owned forecasting model for outbound pipeline generation.
168,Amanda Harris,1,Austin,sales,Launched partner onboarding program across EMEA region.
169,Stacey Stewart,4,Chicago,operations,Owned forecasting model for outbound pipeline generation.
170,James Ochoa,9,Denver,analytics,Built churn propensity model for customer success team.
171,Andrew Lucas,12,Chicago,operations,Designed interview loops for engineering leveling refresh.
172,Scott Williams,5,Austin,sales,Closed strategic logistics accounts in manufacturing sector.
173,Denise Lloyd,3,Chicago,analytics,Owned forecasting model for outbound pipeline generation.
174,James Gonzales,4,Remote,analytics,Introduced warehouse slotting optimization process.
175,Gina Lopez,17,Seattle,operations,Led multi-region ERP rollout across three warehouses.
176,Holly Salinas,11,Denver,engineering,Built churn propensity model for customer success team.
177,Bradley Coleman,17,Austin,product,Built dbt models and Airflow pipelines for finance analytics.
178,Zachary White,0,Denver,analytics,Improved NPS by redesigning incident communications workflow.
179,Brian Murphy,8,Remote,sales,Ran agile ceremonies for cross-functional product squad.
180,Jeremy Robbins,8,Seattle,support,Managed high-volume healthcare recruiting for clinical roles.
181,Jeremy West,7,Seattle,operations,Shipped experimentation framework for signup conversion.
182,Susan Mendez,7,Chicago,engineering,Managed high-volume healthcare recruiting for clinical roles.
183,Mark Moody,1,Denver,support,Ran agile ceremonies for cross-functional product squad.
184,Michael Sullivan,0,Austin,engineering,Built churn propensity model for customer success team.
185,Nicole Moore,14,Remote,sales,Migrated legacy monolith endpoints to event-driven services.
186,Samuel Gregory,7,Austin,analytics,Managed high-volume healthcare recruiting for clinical roles.
187,Cameron Young,2,Atlanta,support,Negotiated software procurement and vendor savings initiatives.
188,Heidi Herring,6,Chicago,product,Launched partner onboarding program across EMEA region.
189,Christian Cole,16,Atlanta,support,Introduced warehouse slotting optimization process.
190,Jeremy Jones,8,Seattle,sales,Expanded support knowledge base and deflected repetitive tickets.
191,Jacob Edwards,17,Chicago,support,Introduced warehouse slotting optimization process.
192,Tyler Johnson,2,Austin,support,Shipped experimentation framework for signup conversion.
193,Joseph Mcintyre,2,Atlanta,support,Introduced warehouse slotting optimization process.
194,Reginald Padilla,10,Atlanta,support,Expanded support knowledge base and deflected repetitive tickets.
195,Logan Benson,12,Austin,support,Owned forecasting model for outbound pipeline generation.
196,Mrs. Brandy Jones MD,17,Austin,analytics,Migrated legacy monolith endpoints to event-driven services.
197,Yolanda Cochran,8,Atlanta,product,Closed strategic logistics accounts in manufacturing sector.
198,Victoria Contreras,3,Atlanta,analytics,Built churn propensity model for customer success team.
199,Krista Roberts,9,Austin,engineering,Designed interview loops for engineering leveling refresh.
200,Christopher Mckinney,5,Atlanta,sales,Led multi-region ERP rollout across three warehouses.
201,Carrie Ward,3,Denver,operations,Built role-based compensation benchmarking dashboards.
202,William Conner,1,Austin,operations,Improved fulfillment SLA reporting with automated dashboards.
203,Johnny Ward,13,Atlanta,support,"Implemented Okta and SCIM provisioning for 2,000 employees."
204,Julie Bird,11,Atlanta,support,Expanded support knowledge base and deflected repetitive tickets.
205,Stephen Jones,2,Austin,engineering,Scaled self-serve onboarding funnel for SMB customers.
206,Mitchell Mendoza,10,Seattle,operations,Maintained SOC 2 evidence collection process.
207,Jason Andrews,15,Chicago,analytics,Reduced cloud spend by redesigning batch compute workloads.
208,Evan Jones,14,Atlanta,product,Improved NPS by redesigning incident communications workflow.
209,Joseph Anderson,8,Seattle,analytics,Improved fulfillment SLA reporting with automated dashboards.
210,Kristen Matthews,1,Remote,sales,Launched partner onboarding program across EMEA region.
211,Betty Shaw,11,Chicago,sales,Built role-based compensation benchmarking dashboards.
212,Sandra Holmes,9,Denver,sales,Built churn propensity model for customer success team.
213,Christopher Donovan,16,Austin,operations,Migrated legacy monolith endpoints to event-driven services.
214,Travis Stone,9,Remote,engineering,Closed strategic logistics accounts in manufacturing sector.
215,Blake Gonzalez,13,Chicago,support,Reduced cloud spend by redesigning batch compute workloads.
216,Denise Weber,9,Seattle,engineering,Migrated legacy monolith endpoints to event-driven services.
217,Anna Davidson,9,Remote,engineering,Automated revenue recognition data quality checks.
218,Lauren Jackson,5,Denver,engineering,Led multi-region ERP rollout across three warehouses.
219,Stephanie Morgan,7,Seattle,engineering,Designed interview loops for engineering leveling refresh.
220,Amanda Shields,5,Denver,analytics,Built churn propensity model for customer success team.
221,Travis Wise,8,Atlanta,support,Improved fulfillment SLA reporting with automated dashboards.
222,Daniel Armstrong,17,Chicago,product,Introduced warehouse slotting optimization process.
223,Amanda Small,6,Remote,support,Managed high-volume healthcare recruiting for clinical roles.
224,Maria Turner,8,Austin,support,Migrated legacy monolith endpoints to event-driven services.
225,Robert Sullivan,17,Atlanta,analytics,Owned forecasting model for outbound pipeline generation.
226,Michael Moore,2,Remote,sales,Shipped experimentation framework for signup conversion.
227,John Peterson,4,Seattle,operations,Automated revenue recognition data quality checks.
228,Scott Flores,8,Seattle,product,Automated revenue recognition data quality checks.
229,Haley Ross PhD,7,Atlanta,engineering,Expanded support knowledge base and deflected repetitive tickets.
230,Ashley Allen,6,Remote,support,Led multi-region ERP rollout across three warehouses.
231,Jerry Thomas,14,Remote,support,Owned forecasting model for outbound pipeline generation.
232,Tony Lin,8,Chicago,engineering,"Implemented Okta and SCIM provisioning for 2,000 employees."
233,Victor Barrera,6,Atlanta,sales,Closed strategic logistics accounts in manufacturing sector.
234,Taylor Griffith,8,Denver,sales,Reduced cloud spend by redesigning batch compute workloads.
235,Christopher Ferrell,15,Chicago,product,Improved NPS by redesigning incident communications workflow.
236,Shawn Jimenez,17,Seattle,operations,Negotiated software procurement and vendor savings initiatives.
237,James Bryant,4,Austin,support,Reduced cloud spend by redesigning batch compute workloads.
238,Kevin Williams,0,Austin,analytics,"Drove product launch for analytics module used by 8,000 accounts."
239,Kyle Cameron,0,Austin,engineering,Introduced warehouse slotting optimization process.
240,Donna Smith,8,Chicago,support,Introduced warehouse slotting optimization process.
241,Cesar Baker,11,Atlanta,analytics,Reduced cloud spend by redesigning batch compute workloads.
242,Jamie Williams,0,Remote,product,Reduced cloud spend by redesigning batch compute workloads.
243,Justin Cox,9,Remote,product,Reduced cloud spend by redesigning batch compute workloads.
244,James Cole,7,Remote,analytics,Introduced warehouse slotting optimization process.
245,Samantha Hanson,16,Seattle,product,Designed interview loops for engineering leveling refresh.
246,Betty Davis,10,Denver,engineering,Designed interview loops for engineering leveling refresh.
247,William Grant,7,Seattle,analytics,"Drove product launch for analytics module used by 8,000 accounts."
248,Charles Morrison,10,Chicago,analytics,Automated revenue recognition data quality checks.
249,Andrew Williams,2,Atlanta,sales,Introduced warehouse slotting optimization process.
250,Regina Stone,8,Austin,analytics,Improved fulfillment SLA reporting with automated dashboards.
251,Steven Taylor,5,Remote,support,Maintained SOC 2 evidence collection process.
252,Emily Long,3,Remote,operations,Shipped experimentation framework for signup conversion.
253,Sarah Wheeler,7,Seattle,analytics,Managed high-volume healthcare recruiting for clinical roles.
254,Katrina Burns,11,Chicago,support,Built churn propensity model for customer success team.
255,Karen Smith,10,Chicago,analytics,Negotiated software procurement and vendor savings initiatives.
256,Brian Butler,17,Seattle,operations,"Drove product launch for analytics module used by 8,000 accounts."
257,Steven Wiggins,4,Denver,sales,Improved fulfillment SLA reporting with automated dashboards.
258,Linda Baker,12,Atlanta,analytics,Reduced cloud spend by redesigning batch compute workloads.
259,Valerie Lane,9,Denver,product,Designed interview loops for engineering leveling refresh.
260,Anthony Castillo,15,Remote,operations,Designed interview loops for engineering leveling refresh.
261,Michelle Hampton,16,Austin,analytics,Closed strategic logistics accounts in manufacturing sector.
262,Roberto Allen,12,Denver,product,Owned forecasting model for outbound pipeline generation.
263,Melody Lee,7,Chicago,sales,Migrated legacy monolith endpoints to event-driven services.
264,Jason Gutierrez,9,Seattle,support,Built dbt models and Airflow pipelines for finance analytics.
265,Jonathan Carr,11,Chicago,sales,Negotiated software procurement and vendor savings initiatives.
266,Ryan Luna,14,Chicago,sales,"Drove product launch for analytics module used by 8,000 accounts."
267,Kelly Hoffman,4,Chicago,sales,"Drove product launch for analytics module used by 8,000 accounts."
268,Mrs. Jamie Frye DDS,15,Remote,engineering,Managed enterprise renewals exceeding $4M ARR.
269,Kimberly Lowe,14,Chicago,operations,Managed high-volume healthcare recruiting for clinical roles.
270,Melanie Lara,1,Remote,operations,Built role-based compensation benchmarking dashboards.
271,John Bernard,4,Remote,sales,Closed strategic logistics accounts in manufacturing sector.
272,Edwin David,4,Remote,support,Launched partner onboarding program across EMEA region.
273,Dr. Michele Vaughn,10,Denver,analytics,Closed strategic logistics accounts in manufacturing sector.
274,John Castro DVM,3,Atlanta,sales,Reduced cloud spend by redesigning batch compute workloads.
275,Donna Berry,5,Seattle,sales,Maintained SOC 2 evidence collection process.
276,Stephanie Foster,3,Austin,support,Reduced cloud spend by redesigning batch compute workloads.
277,Raymond Thomas,1,Austin,sales,Expanded support knowledge base and deflected repetitive tickets.
278,Tyler Miller,8,Chicago,operations,Built role-based compensation benchmarking dashboards.
279,Mary Burgess,5,Remote,engineering,Led multi-region ERP rollout across three warehouses.
280,Ronald Nelson,9,Austin,support,"Implemented Okta and SCIM provisioning for 2,000 employees."
281,Denise Rodriguez,3,Seattle,operations,Maintained SOC 2 evidence collection process.
282,Cynthia Williams,5,Remote,support,Built dbt models and Airflow pipelines for finance analytics.
283,Courtney Hall,16,Remote,operations,Improved NPS by redesigning incident communications workflow.
284,Gary Kennedy,14,Atlanta,support,Improved fulfillment SLA reporting with automated dashboards.
285,Brenda Oconnell,4,Atlanta,operations,Closed strategic logistics accounts in manufacturing sector.
286,Brooke Delgado,2,Seattle,product,Automated revenue recognition data quality checks.
287,Karen Santos,17,Atlanta,support,"Drove product launch for analytics module used by 8,000 accounts."
288,Donna Mitchell,12,Seattle,operations,Ran agile ceremonies for cross-functional product squad.
289,Randy Pearson,8,Denver,operations,Shipped experimentation framework for signup conversion.
290,Parker Jefferson,12,Remote,analytics,Improved fulfillment SLA reporting with automated dashboards.
291,Thomas Butler,3,Denver,support,Improved NPS by redesigning incident communications workflow.
292,Taylor Johnson,7,Chicago,support,Launched partner onboarding program across EMEA region.
293,Rachel Lopez,7,Seattle,engineering,Owned forecasting model for outbound pipeline generation.
294,Shelia Roberts,12,Atlanta,sales,Expanded support knowledge base and deflected repetitive tickets.
295,Edwin Morrison,3,Austin,operations,"Drove product launch for analytics module used by 8,000 accounts."
296,Frances Gibson,8,Austin,analytics,Owned forecasting model for outbound pipeline generation.
297,Kelly Small,15,Austin,engineering,Improved NPS by redesigning incident communications workflow.
298,Jonathan Nelson,3,Atlanta,sales,Built dbt models and Airflow pipelines for finance analytics.
299,Erin Simon,2,Remote,operations,Negotiated software procurement and vendor savings initiatives.
300,Michelle Smith,14,Chicago,operations,Managed high-volume healthcare recruiting for clinical roles.
301,Edward Craig,15,Austin,analytics,Introduced warehouse slotting optimization process.
302,Levi Fowler,7,Remote,engineering,Launched partner onboarding program across EMEA region.
303,Jeffrey Murphy,0,Seattle,support,Shipped experimentation framework for signup conversion.
304,Brandon Holden,9,Atlanta,sales,Maintained SOC 2 evidence collection process.
305,Timothy Smith,5,Chicago,analytics,Managed high-volume healthcare recruiting for clinical roles.
306,Jeremy Adams,10,Seattle,product,Improved NPS by redesigning incident communications workflow.
307,Kevin Berry,2,Denver,operations,Managed high-volume healthcare recruiting for clinical roles.
308,Ian Young,14,Chicago,sales,Built churn propensity model for customer success team.
309,Julie Moore,12,Chicago,sales,Launched partner onboarding program across EMEA region.
310,Tammy Barron,11,Austin,analytics,Migrated legacy monolith endpoints to event-driven services.
311,Melissa Fowler,9,Denver,product,Scaled self-serve onboarding funnel for SMB customers.
312,Holly Walker,3,Seattle,analytics,Scaled self-serve onboarding funnel for SMB customers.
313,Karen Gibson,16,Seattle,sales,Managed enterprise renewals exceeding $4M ARR.
314,Jacqueline Miles DVM,4,Seattle,product,Built dbt models and Airflow pipelines for finance analytics.
315,Rebecca Petersen,6,Remote,engineering,Improved NPS by redesigning incident communications workflow.
316,Melanie Larson,16,Remote,operations,"Implemented Okta and SCIM provisioning for 2,000 employees."
317,Kelly Rice,0,Chicago,engineering,Improved fulfillment SLA reporting with automated dashboards.
318,Thomas Rodriguez,2,Denver,engineering,"Drove product launch for analytics module used by 8,000 accounts."
319,Stephanie Harris,13,Denver,product,"Implemented Okta and SCIM provisioning for 2,000 employees."
320,Carmen Bond,6,Seattle,engineering,Ran agile ceremonies for cross-functional product squad.
321,Michael Love,10,Remote,product,Built dbt models and Airflow pipelines for finance analytics.
322,Steven Griffin Jr.,10,Remote,analytics,"Implemented Okta and SCIM provisioning for 2,000 employees."
323,Jason Elliott,14,Austin,sales,Improved fulfillment SLA reporting with automated dashboards.
324,Megan Parker,11,Atlanta,product,Built dbt models and Airflow pipelines for finance analytics.
325,David Smith,7,Austin,engineering,Owned forecasting model for outbound pipeline generation.
326,Benjamin Henderson,9,Chicago,support,"Implemented Okta and SCIM provisioning for 2,000 employees."
327,Kimberly Brown,13,Denver,support,Reduced cloud spend by redesigning batch compute workloads.
328,Victoria Kennedy,6,Atlanta,operations,Managed enterprise renewals exceeding $4M ARR.
329,Christopher Taylor,3,Seattle,sales,Negotiated software procurement and vendor savings initiatives.
330,Monica Stuart,8,Remote,engineering,Maintained SOC 2 evidence collection process.
331,Steven West,17,Denver,engineering,Automated revenue recognition data quality checks.
332,Jamie Miller,2,Atlanta,engineering,Closed strategic logistics accounts in manufacturing sector.
333,Shelly Anderson,3,Austin,operations,Launched partner onboarding program across EMEA region.
334,Barbara Haney,17,Austin,analytics,Negotiated software procurement and vendor savings initiatives.
335,Cameron Irwin,14,Remote,operations,Managed enterprise renewals exceeding $4M ARR.
336,Nicole Good,2,Remote,support,Built churn propensity model for customer success team.
337,Nathan Coleman,3,Remote,operations,"Implemented Okta and SCIM provisioning for 2,000 employees."
338,David Murray,12,Chicago,support,Designed interview loops for engineering leveling refresh.
339,Colin Golden,14,Atlanta,analytics,Shipped experimentation framework for signup conversion.
340,Amanda Keller,13,Chicago,product,Automated revenue recognition data quality checks.
341,Taylor Small,15,Seattle,support,Automated revenue recognition data quality checks.
342,Austin Wheeler,9,Denver,engineering,Built dbt models and Airflow pipelines for finance analytics.
343,Michael Brennan,15,Remote,analytics,Expanded support knowledge base and deflected repetitive tickets.
